Date,ADS_Index
1960:11:01,-1.69771
1960:11:02,-1.74199
1960:11:03,-1.78523
1960:11:04,-1.82742
1960:11:05,-1.8686
1960:11:06,-1.90877
1960:11:07,-1.94794
1960:11:08,-1.98612
1960:11:09,-2.02333
1960:11:10,-2.05958
1960:11:11,-2.09488
1960:11:12,-2.12925
1960:11:13,-2.16268
1960:11:14,-2.1952
1960:11:15,-2.22681
1960:11:16,-2.25752
1960:11:17,-2.28735
1960:11:18,-2.31629
1960:11:19,-2.34437
1960:11:20,-2.37159
1960:11:21,-2.39796
1960:11:22,-2.42348
1960:11:23,-2.44817
1960:11:24,-2.47203
1960:11:25,-2.49507
1960:11:26,-2.5173
1960:11:27,-2.53872
1960:11:28,-2.55934
1960:11:29,-2.57917
1960:11:30,-2.59822
1960:12:01,-2.61648
1960:12:02,-2.63171
1960:12:03,-2.6439
1960:12:04,-2.65306
1960:12:05,-2.6592
1960:12:06,-2.66232
1960:12:07,-2.66241
1960:12:08,-2.65948
1960:12:09,-2.65353
1960:12:10,-2.64455
1960:12:11,-2.63255
1960:12:12,-2.61751
1960:12:13,-2.59943
1960:12:14,-2.57832
1960:12:15,-2.55415
1960:12:16,-2.52693
1960:12:17,-2.49664
1960:12:18,-2.46327
1960:12:19,-2.42683
1960:12:20,-2.38728
1960:12:21,-2.34463
1960:12:22,-2.29885
1960:12:23,-2.24994
1960:12:24,-2.19787
1960:12:25,-2.14263
1960:12:26,-2.08421
1960:12:27,-2.02259
1960:12:28,-1.95774
1960:12:29,-1.88965
1960:12:30,-1.81829
1960:12:31,-1.74364
1961:01:01,-1.66569
1961:01:02,-1.59076
1961:01:03,-1.51884
1961:01:04,-1.44991
1961:01:05,-1.38393
1961:01:06,-1.32091
1961:01:07,-1.2608
1961:01:08,-1.2036
1961:01:09,-1.14928
1961:01:10,-1.09783
1961:01:11,-1.04924
1961:01:12,-1.00348
1961:01:13,-0.960541
1961:01:14,-0.920415
1961:01:15,-0.883085
1961:01:16,-0.848541
1961:01:17,-0.81677
1961:01:18,-0.787764
1961:01:19,-0.761513
1961:01:20,-0.738008
1961:01:21,-0.717243
1961:01:22,-0.699211
1961:01:23,-0.683906
1961:01:24,-0.671324
1961:01:25,-0.66146
1961:01:26,-0.654311
1961:01:27,-0.649875
1961:01:28,-0.648152
1961:01:29,-0.649139
1961:01:30,-0.652838
1961:01:31,-0.659249
1961:02:01,-0.668375
1961:02:02,-0.675605
1961:02:03,-0.68094
1961:02:04,-0.684383
1961:02:05,-0.685935
1961:02:06,-0.685595
1961:02:07,-0.683364
1961:02:08,-0.679242
1961:02:09,-0.673226
1961:02:10,-0.665316
1961:02:11,-0.655508
1961:02:12,-0.643799
1961:02:13,-0.630187
1961:02:14,-0.614665
1961:02:15,-0.597231
1961:02:16,-0.577877
1961:02:17,-0.556599
1961:02:18,-0.533389
1961:02:19,-0.50824
1961:02:20,-0.481144
1961:02:21,-0.452093
1961:02:22,-0.421078
1961:02:23,-0.388088
1961:02:24,-0.353114
1961:02:25,-0.316144
1961:02:26,-0.277167
1961:02:27,-0.23617
1961:02:28,-0.193141
1961:03:01,-0.148067
1961:03:02,-0.103974
1961:03:03,-0.0608505
1961:03:04,-0.0186814
1961:03:05,0.022546
1961:03:06,0.0628448
1961:03:07,0.102228
1961:03:08,0.140707
1961:03:09,0.178294
1961:03:10,0.215002
1961:03:11,0.250842
1961:03:12,0.285825
1961:03:13,0.319961
1961:03:14,0.353263
1961:03:15,0.38574
1961:03:16,0.417402
1961:03:17,0.44826
1961:03:18,0.478323
1961:03:19,0.5076
1961:03:20,0.536102
1961:03:21,0.563835
1961:03:22,0.590811
1961:03:23,0.617036
1961:03:24,0.642519
1961:03:25,0.667269
1961:03:26,0.691292
1961:03:27,0.714597
1961:03:28,0.737191
1961:03:29,0.759081
1961:03:30,0.780273
1961:03:31,0.800775
1961:04:01,0.820593
1961:04:02,0.840217
1961:04:03,0.859655
1961:04:04,0.878912
1961:04:05,0.897994
1961:04:06,0.916908
1961:04:07,0.935658
1961:04:08,0.954252
1961:04:09,0.972695
1961:04:10,0.990992
1961:04:11,1.00915
1961:04:12,1.02717
1961:04:13,1.04507
1961:04:14,1.06284
1961:04:15,1.0805
1961:04:16,1.09805
1961:04:17,1.11548
1961:04:18,1.13282
1961:04:19,1.15007
1961:04:20,1.16722
1961:04:21,1.18429
1961:04:22,1.20128
1961:04:23,1.2182
1961:04:24,1.23505
1961:04:25,1.25184
1961:04:26,1.26857
1961:04:27,1.28524
1961:04:28,1.30187
1961:04:29,1.31846
1961:04:30,1.33501
1961:05:01,1.35153
1961:05:02,1.3674
1961:05:03,1.38261
1961:05:04,1.39717
1961:05:05,1.4111
1961:05:06,1.42438
1961:05:07,1.43703
1961:05:08,1.44905
1961:05:09,1.46044
1961:05:10,1.47121
1961:05:11,1.48137
1961:05:12,1.4909
1961:05:13,1.49982
1961:05:14,1.50814
1961:05:15,1.51584
1961:05:16,1.52294
1961:05:17,1.52944
1961:05:18,1.53533
1961:05:19,1.54063
1961:05:20,1.54533
1961:05:21,1.54943
1961:05:22,1.55294
1961:05:23,1.55586
1961:05:24,1.55818
1961:05:25,1.55991
1961:05:26,1.56105
1961:05:27,1.5616
1961:05:28,1.56156
1961:05:29,1.56092
1961:05:30,1.5597
1961:05:31,1.55788
1961:06:01,1.55548
1961:06:02,1.55273
1961:06:03,1.54965
1961:06:04,1.54624
1961:06:05,1.54248
1961:06:06,1.53839
1961:06:07,1.53396
1961:06:08,1.52918
1961:06:09,1.52407
1961:06:10,1.5186
1961:06:11,1.51279
1961:06:12,1.50663
1961:06:13,1.50012
1961:06:14,1.49326
1961:06:15,1.48605
1961:06:16,1.47847
1961:06:17,1.47054
1961:06:18,1.46225
1961:06:19,1.45359
1961:06:20,1.44457
1961:06:21,1.43517
1961:06:22,1.4254
1961:06:23,1.41526
1961:06:24,1.40473
1961:06:25,1.39383
1961:06:26,1.38254
1961:06:27,1.37086
1961:06:28,1.35878
1961:06:29,1.34631
1961:06:30,1.33344
1961:07:01,1.32016
1961:07:02,1.30724
1961:07:03,1.29467
1961:07:04,1.28245
1961:07:05,1.27057
1961:07:06,1.25902
1961:07:07,1.24782
1961:07:08,1.23694
1961:07:09,1.2264
1961:07:10,1.21618
1961:07:11,1.20628
1961:07:12,1.1967
1961:07:13,1.18744
1961:07:14,1.17849
1961:07:15,1.16985
1961:07:16,1.16152
1961:07:17,1.15349
1961:07:18,1.14577
1961:07:19,1.13834
1961:07:20,1.13122
1961:07:21,1.12439
1961:07:22,1.11785
1961:07:23,1.1116
1961:07:24,1.10564
1961:07:25,1.09997
1961:07:26,1.09459
1961:07:27,1.08949
1961:07:28,1.08467
1961:07:29,1.08013
1961:07:30,1.07588
1961:07:31,1.0719
1961:08:01,1.06819
1961:08:02,1.06359
1961:08:03,1.05809
1961:08:04,1.05169
1961:08:05,1.04439
1961:08:06,1.03618
1961:08:07,1.02706
1961:08:08,1.01704
1961:08:09,1.00609
1961:08:10,0.994236
1961:08:11,0.981457
1961:08:12,0.967752
1961:08:13,0.953119
1961:08:14,0.937551
1961:08:15,0.921045
1961:08:16,0.903594
1961:08:17,0.885194
1961:08:18,0.865839
1961:08:19,0.845523
1961:08:20,0.824239
1961:08:21,0.80198
1961:08:22,0.77874
1961:08:23,0.754512
1961:08:24,0.729287
1961:08:25,0.703058
1961:08:26,0.675816
1961:08:27,0.647553
1961:08:28,0.618261
1961:08:29,0.587929
1961:08:30,0.556548
1961:08:31,0.52411
1961:09:01,0.490602
1961:09:02,0.459999
1961:09:03,0.432292
1961:09:04,0.407471
1961:09:05,0.385529
1961:09:06,0.366458
1961:09:07,0.350254
1961:09:08,0.336911
1961:09:09,0.326424
1961:09:10,0.31879
1961:09:11,0.314007
1961:09:12,0.312074
1961:09:13,0.312989
1961:09:14,0.316754
1961:09:15,0.323368
1961:09:16,0.332835
1961:09:17,0.345158
1961:09:18,0.360339
1961:09:19,0.378385
1961:09:20,0.3993
1961:09:21,0.423091
1961:09:22,0.449767
1961:09:23,0.479334
1961:09:24,0.511802
1961:09:25,0.547182
1961:09:26,0.585485
1961:09:27,0.626722
1961:09:28,0.670907
1961:09:29,0.718054
1961:09:30,0.768177
1961:10:01,0.821292
1961:10:02,0.872795
1961:10:03,0.922701
1961:10:04,0.971027
1961:10:05,1.01779
1961:10:06,1.063
1961:10:07,1.10667
1961:10:08,1.14882
1961:10:09,1.18946
1961:10:10,1.22861
1961:10:11,1.26627
1961:10:12,1.30245
1961:10:13,1.33718
1961:10:14,1.37045
1961:10:15,1.40229
1961:10:16,1.4327
1961:10:17,1.46168
1961:10:18,1.48925
1961:10:19,1.51543
1961:10:20,1.5402
1961:10:21,1.56359
1961:10:22,1.58561
1961:10:23,1.60625
1961:10:24,1.62552
1961:10:25,1.64343
1961:10:26,1.65999
1961:10:27,1.6752
1961:10:28,1.68907
1961:10:29,1.7016
1961:10:30,1.71279
1961:10:31,1.72265
1961:11:01,1.73118
1961:11:02,1.73834
1961:11:03,1.74413
1961:11:04,1.74856
1961:11:05,1.75162
1961:11:06,1.75332
1961:11:07,1.75366
1961:11:08,1.75263
1961:11:09,1.75024
1961:11:10,1.74649
1961:11:11,1.74137
1961:11:12,1.73489
1961:11:13,1.72704
1961:11:14,1.71781
1961:11:15,1.70722
1961:11:16,1.69524
